DB_id,series_title,series_sub_title,series_type,previous_id,notes
-2145405194,Journal of Ethnic and Migration Studies,A Journal of Contemporary & Historical Debate,journal,0,
-2135707629,Saothar,Journal of the Irish Labour History Society,journal,0,
-2134512417,Progressive Ireland,,books,0,
-2133942847,British Journal of Sociology of Education,,journal,0,
-2131912763,"Seventeenth Century, The",,journal,0,
-2129109560,Journal of Political Economy,,journal,0,
-2119563635,Old Kilkenny Review,,journal,0,
-2119033408,Oral History Interview,,article edition sub series,0,
-2117984863,The Women's International,,article edition sub series,0,
-2115275303,Belfast Magazine and Literary Journal,,journal,0,
-2109445161,Toponomia Hiberniae,,journal,0,
-2108461018,Agenda,,journal,0,
-2106975090,"Catholic Book Bulletin, The",A Monthly Review of Catholic Literature,journal,0,
-2101355763,U.C.G. Women's Studies Centre Review,,journal,0,Early version of the Women's Studies Review
-2099123674,Transactions of the Dublin Statistical Society,,journal,0,
-2096514367,Review Essays,,article edition sub series,0,
-2083812973,Irish Quarterly Review,,journal,0,
-2080416410,Off Our Backs: A Woman's Newsjournal,,journal,0,Washington
-2076577931,Windsor Selection Series,,books,0,
-2075836511,Verse,,journal,0,
-2071460595,Studies in Conflict & Terrorism,,journal,0,
-2069161570,Poetry Review,,journal,0,
-2059387607,Archaeology Ireland,,journal,0,
-2057020243,History and Computing,,journal,0,
-2056267933,Hecate,,journal,0,St. Lucia
-2054755577,Language and Linguistics,,journal,0,
-2053533019,Partisan Review,,journal,0,
-2050688381,Journal of International Feminst Politics,,journal,0,
-2049517770,Petherick's Collection of Favourite and Approved Authors,,books,0,E.A. Petherick. Melbourne
-2046836697,Poetry Ireland,,journal,0,
-2042954092,I,,article edition sub series,0,
-2042626416,Metre,,journal,0,
-2040765283,"English Woman's Journal, The",,journal,0,
-2039615731,The Films,,article edition sub series,0,
-2034557824,Ulsterman,,journal,0,
-2030030345,"Gaelic Journal, The",exclusively devoted to the preservation and cultiv,journal,0,
-2025513890,"Irish Magazine, The",and Monthly Asylum for Neglected Biography,journal,0,
-2020077291,Gender and Education,,journal,0,
-2018716465,Homes and Gardens,,journal,0,
-2011175561,History Ireland,,journal,0,
-2006186493,"Sociological Quarterly, The",,journal,0,
-2005884026,Journal of the Clifden & Connemara Heritage Group,,journal,0,
-2005751809,"Gael, The",,journal,0,
-2005390025,Romance Philology,,journal,0,
