DB_id,company_name,notes
-2142866506,Rebecca Cox,
-2129726919,Follower Productions,
-2121059320,CVD Studios,
-2088274226,Miramax,
-2043021770,Popular Plays and Players Inc,
-2042707750,Trigger Productions,
-2041193416,Dwarfed Films,
-2014663020,Planet Rock Ltd,
-2008792167,Shipa Films,
-1995761451,Metropolitan Films,
-1956151724,Tiffany Productions,
-1893354585,Paramount Pictures Corp,
-1797924093,Dublin Institute of Technology,
-1790558839,Arts Council of Great Britain,
-1781752468,Esras Films,
-1770532942,Warner Bros Productions Ltd,
-1739779691,Stirling Film and Television Productions,
-1731039344,Purple Productions,
-1722868847,"College of Commerce, Rathmines",
-1704424556,BBC Northern Ireland,
-1667979887,Pembridge Productions,
-1662510571,Paramount Publix Corp,
-1652221431,Partricia Murphy,
-1641274850,Dreamchaser Productions,
-1630010327,Colette Cullen,
-1625740475,Grand Pictures,
-1606250466,Promedia TV,
-1568711175,"Stop, Watch TV",
-1557530621,Agtel Communications,
-1553540261,Crinkle Films Ltd,
-1517191226,The Picture Company,
-1485331419,Delirious Productions,
-1466774364,Samson Films Ltd.,
-1465909103,Loopline Productions,
-1465098390,Sherwood Limited,
-1464978467,Propell Pictures,
-1460569304,Plaza Pictures,
-1434435278,Price Entertainment/Lantana Productions,
-1415746232,Vinegar Hill Productions,
-1412301638,Mary Pickford Film Corp,
-1367616639,Celtic Mouse Productions,
-1275087758,Faction Films,
-1260043382,Revelation Films,
-1252327043,Galway Mayo Institute of Technology,
-1237638383,Besom Productions Ltd,
-1224900203,Virgin Records France,
-1198795475,Majestic Films,
-1187226291,Aaron Denn,
-1173577061,Thomas A Edison Inc.,
-1169908779,Axiom Films,
-1164394825,Michelle McShorthall,
-1102080077,Mandy McIntosh,
-1096680108,Akajava Films,
-1091843489,Raw Nerve Productions,
-1083089800,BBC Films,
-1081683684,Miriam Gallagher,
-1072997048,Lazer Entertainments (Irl),
-1072303267,Straight Feet Productions,
-1068090144,Emdee Productions,
-1016769587,Young Irish Film Makers,
-995665144,Footprint Productions,
-963075718,Ocean Film Productions,
-953753551,"Dun Laoghaire Institute of Art, Design & Technolog",
-944236148,Igloo Films,
-927077861,Dearbhail Connon,
-884770722,Garry Keane,
-871559271,Lakmé,
-847947526,Hal Wallace Productions,
-820014348,Chairene Productions,
-748427253,Famous Players Film Co,
-746918195,The Nerve Centre,
-726216611,Clann Pictures,
-701574240,Raw Nerve Films,
-693266768,Accomplice TV,
-693050197,Network Ireland Television,
-685168098,Hawkeye Films,
-683541778,Film Base,
-678412507,Liquid Films,
-666105776,Tiffany-Stahl Productions,
-653776152,Cathi Weldon,
-642954595,Terraglyph Productions Ltd,
-630515804,Smerbhic,
-588863929,Galway Film Resource Centre,
-588174581,Comet Films,
-564863652,Fox Film Corp,
-517866718,Róisín Rua Films,
-486476185,Fatboy Films,
-475391321,Zanzibar Productions,
-468294241,BBC TV,
-454176910,Filmbase/TG4,
-411954929,Jesse L Lasky Feature Play Co,
-411317443,NSFTV/Leeds Metropolitan University,
-409060213,Noreen Fahy,
-408468315,Fools of Fortune Ltd.,
-396677422,Famous Players-Lasky Corp,
-390201677,Buckshee Films,
-359073644,Monogram Pictures Corp,
-357963629,Aisling Films,
-320770144,Green Umbrella Films,
-317784554,Esperanza Films,
-310567296,Gemini Film Produktion,
-298768149,Mack Sennett-Mable Normand Productions,
-279588773,Janey Pictures,
-276133182,Parallax Pictures,
-259323305,Universal Film Mfg Co-101 Bison,
-258691250,David Power,
-251572578,London Films International,
-226175877,Paramount Famous-Lasky Corp,
