DB_id,company_name,settlement,county,country,notes
-2122990808,Enterprise Printing Service,Belfast,,Ireland,
-2105706652,J.F. Walsh,Roscrea,Tipperary,Ireland,
-2105109929,Billing & Sons,Guildford,,England,
-2099140550,M.H. Gill & Son Ltd.,Dublin,,Ireland,
-2097027572,W. Folds,Dublin,,Ireland,
-2094728824,Gunn and Cameron,Dublin,,Ireland,
-2087341226,Corrigan and Wilson,Dublin,,Ireland,
-2078428255,Dorman and Co.,Belfast,,Ireland,
-2077067825,Sampson Low,London,,England,
-2067008110,James Carpenter,London,,England,
-2065097556,Mahlon Day,New York,,USA,
-2053451477,John Moir,Edinburgh,,Scotland,
-2053096398,Reprint Ltd.,Dublin,,Ireland,
-2041965445,Turner's Printing Works,Longford,Longford,Ireland,
-2040180846,"Sealy, Bryars and Walker",Dublin,,Ireland,
-2033487357,Wood and Co.,Bath,,England,
-2006455526,Luke M. Hope,Belfast,,,
-2000781044,Morton Newspaper Group,Lurgan,Armagh,Ireland,
-1992605440,Regency Press,Belfast,,Ireland,
-1991937672,G. Sidney,London,,England,
-1982604851,Athlone Printing Works,Dublin,,Ireland,
-1982343671,Botanic House Printers,Belfast,,Ireland,
-1975259963,Colour Books Ltd.,Dublin,,Ireland,
-1969516333,Powell Press,Dublin,,Ireland,
-1967182518,J. Wilson,Macclesfield,,England,
-1966368010,George R. Tracy,Dublin,,Ireland,
-1960394215,Philanthropic Society,London,,England,
-1947508315,J. Stockdale and Sons,Dublin,,Ireland,
-1944058448,7 Lower Crescent,Belfast,,Ireland,
-1935998586,Leinster Leader Ltd.,Naas,Kildare,Ireland,
-1907239787,McKerns Printing Works Ltd.,Limerick,Limerick,Ireland,
-1906511071,W. M'Dowall,London,,England,
-1899413133,Brett Smith,Dublin,,Ireland,
-1896560334,Philip Dixon Hardy,Dublin,,Ireland,
-1880408995,Nicholson & Bass Ltd,,,,
-1879253269,N. L. Pannier,London,,England,
-1861827837,Samuel Machen,Dublin,,Ireland,
-1842073520,Impro,,,Ireland,
-1835217639,Task Print,Dublin,,Ireland,
-1835169071,James Duffy,Dublin,,Ireland,
-1834594248,Ferdinand Charles Panormo,Tralee,Kerry,Ireland,
-1825928783,Caxton Press,London,,England,
-1822152287,The Talbot Press,Dublin,,Ireland,
-1817452136,John Falconer,Dublin,,Ireland,
-1808521486,H. Fitzpatrick,Dublin,,Ireland,
-1806361252,"Publicity and Art Printing Co., Ltd.",Dublin,,Ireland,
-1804667308,A. Seale,London,,England,
-1804590245,J. D. Dewick,London,,England,
-1801382398,L. Brightly,Saxmundham,Suffolk,England,
-1763257941,GraphCems,,,Spain,
-1750792557,Belfast Litho Printers Ltd.,Belfast,,Ireland,
-1748780673,Poole & Edwards,London,,England,
-1732544471,William Burton,London,,England,
-1732371054,John Swaine,New York,,USA,
-1702808570,John and Thomas M'Auliff,Limerick,,Ireland,
-1700423559,Jaques and Wright,London,,England,
-1693360423,J. W. Myers,London,,England,
-1680839423,Noel Murphy Printing Ltd.,Belfast,,Ireland,
-1661566801,CPD,,,Wales,
-1657630074,J. M'Gowan,London,,England,
-1641330495,Cox & Wyman,Reading,Berkshire,England,
-1630989887,W.F. Dennehy,Dublin,,Ireland,
-1620383154,,,,,
-1608293814,P. Doyle,Dublin,,Ireland,
-1596846290,Print-PR Ltd,Dublin,,Ireland,
-1588884645,Reprographics Ltd.,Dublin,,Ireland,
