DB_id,company_name,settlement,county,country,notes
-2147119121,Polirom,Bucharest,,Romania,
-2144832522,Morrow,New York,,USA,
-2142000503,Duncker und Humblot,Berlin,,Germany,
-2141750283,"Belford, Clarke",Chicago,,USA,
-2140801477,Victor Gollancz,London,,England,
-2139791941,G.E. Desbarats,Montreal,,Canada,
-2139112484,L'Harmattan,Turin,,Italy,
-2137362147,Society for Social Responsibility in Science,Bridgeport,Connecticut,USA,
-2136044909,Syracuse University Press,Syracuse,,USA,
-2133787072,SBP,Edinburgh,,Scotland,
-2132393963,D. Appleton & Co.,New York,,USA,
-2131219260,"William Oliphant, Waugh and Innes",Edinburgh,,Scotland,
-2126324929,Chikumashobo,Tokyo,,Japan,
-2125321758,Harmony Books,New York,,USA,
-2123730764,R. Baldwin,London,,England,
-2122647335,Rider & Co,London,,England,
-2122510079,University of Delaware Press,Newark,New Jersey,USA,
-2121420148,"Galpin & Co.,",New York,,USA,
-2120648139,L.C. Page,Boston,,USA,
-2118112341,"Donohue, Henneberry",Chicago,,USA,
-2117929122,Goldmann,Munich,,Germany,
-2117655502,Reinhardt,Basel,,Germany,
-2117272232,M. Iley,London,,England,
-2116083318,Lane & Tippett,New York,,USA,
-2114938239,Howell and Stewart,London,,England,
-2112883911,At the Unicorn VII Cecil Court,London,,England,
-2111361279,T. & T. Clarke,Edinburgh,,Scotland,
-2110233085,Art in Working Life Committee,Dickson,ACT,Australia,
-2109830505,Duculot,Paris,,France,
-2109460834,Verl. Comptoir,Leipzig,,Germany,
-2108988486,Eesti Riiklik Kirjastus,Tallinn,,Estonia,
-2108722102,Holiday House,New York,,USA,
-2108406913,J. Goodwin,London,,England,
-2107834929,Samsong Ch`ulp`ansa,Seoul,,Korea,
-2106980180,Farset Co-Operative Press,Belfat,,Ireland,
-2104364389,Souvenir Press,London,,England,
-2103250658,Trischler and Co.,London,,England,
-2102579628,North Books,Wickford,Rhode Island,USA,
-2101346127,Franklin Company,New York,,USA,
-2101124071,J. Bell,London,,England,
-2100007445,Detiunizdat Gruzinskoi SSR,Tbilisi,,Georgia,
-2097852294,Higgins & Perkinpine,Philadelphia,,USA,
-2097211976,Catholic Book Club,London,,England,
-2096935084,Edicions Proa.,Barcelona,,Spain,
-2092251370,Smithmark,New York,,USA,
-2090136490,Rabén & Sjögren,Stockholm,,Sweden,
-2085584688,Kok Pharos Publishing House,Kampen,,Germany,
-2085166793,Schultz,Copenhagen,,Denmark,
-2084913801,L. & G. Seeley,London,,England,
-2084580733,Eland,London,,England,
-2081492603,Eymery,Paris,,France,
-2081383565,Editions Joëlle Losfeld,Paris,,France,
-2080585455,Milford,London,,England,
-2077979869,Curry anc Co.,Dublin,,Ireland,
-2077450474,R.H. Paget,New York,,USA,
-2077352556,Scolar Press,London,,England,
-2076714836,Pickering & Inglis,London,,England,
-2074611259,William Oliphant,Edinburgh,,Scotland,
-2074231334,"Burns, Oates and Washbourne",London,,England,
-2073229154,G. S. Appleton,Philadelphia,,USA,
-2072767335,Wogan,Dublin,,Ireland,
-2072364381,Ljus,Stockholm,,Sweden,
-2072248135,Wilhelm Heyne Verlag,Munich,,Germany,
-2071023149,Wynkin de Worde,Galway,,Ireland,
-2070324217, J C Lattès,Paris,,France,
-2070302264,Valstybine Grozines Literaturos leidykla,Kaunas,,Lithuania,
