DB_id,company_name,notes
-2091226435,Nora Lever Productions,
-2071420564,Ulster (Literary) Theatre,
-2056790491,Playwrights and Actors,
-2025750415,Storytellers' Theatre Company,
-1965447228,Cahoots NI,
-1933859555,Out of Joint,
-1817014103,Yew Tree Theatre,
-1782840262,Punchbag Theatre Company,
-1752454432,Kalendar Productions,
-1736426276,Cork Opera House,
-1722411202,Pigsback Theatre Company,
-1700964702,Operating Theatre,
-1599237493,The Lantern Theatre Club,
-1562271663,Galloglass Theatre Company,
-1545294625,Granary Productions,
-1463460739,Civic Theatre,
-1402958477,Edwards-Mac Liammoir Gate Theatre Productions,
-1397026336,Connemara Theatre Company,
-1368436573,Charabanc Theatre Company,
-1336716943,Paines Plough Theatre Company,
-1314991904,Eska Riada Productions,
-1292405262,Big Telly Theatre Company,
-1249534903,Calipo Theatre Company,
-1199707041,The Performance Corporation,
-1184022911,READCO,
-1091209590,Royal Shakespeare Company,
-1085509476,Bewley's Café Theatre,
-1061066302,Royal Court Theatre,
-1050361748,Longford Productions,
-1036629874,Ardmore Productions Ltd.,
-1005456389,York Promotions,
-978082995,Riverside Theatre,
-956208883,Gaiety Theatre,
-949176950,Lane Productions,
-843556565,Passion Machine,
-712549273,The Abbey Theatre,
-681533149,Barabbas,
-636796677,Tall Tales Theatre Company,
-622446823,Kite Productions,
-598261608,"Poet's Theatre, Cambridge",
-555958854,Olympia Productions,
-524754830,Landmark Productions,
-511387485,Black Box Theatre Company,
-260395479,Liverpool Playhouse Theatre,
-248418353,Belfast Theatre Company,
-153439562,[unknown],for entries where production details not known
-46616758,Oscar Productions,
8831333,Druid Theatre Company,
168285278,Red Kettle Theatre Company,
304400776,Theatre of Ireland,1906 - 1912
410711230,Greenlight Productions,
502587945,The Royal Court Theatre,
507707245,Wishbone Theatre Company,
528594578,Ulster Group Theatre,
600616947,Theatre of Open Secrets,
691438355,Graffiti Theatre Company,
694889932,Down to Earth Theatre Company,
702702609,Prime Cut Productions,
763522880,Moveable Feast,
798972613,Glasshouse Productions,
812689999,New Writers Theatre,
821744588,The Lyric Players Theatre,1951 - 1988
835833692,Moving Theatre,
910658207,Upstate Theatre Project,
995299641,Crooked Sixpence Theatre Company,
1135709480,Calypso Productions,
1201239749,Kabosh,
1214035932,Fishamble Theatre Company,
1251749641,Peri-Talking Theatre Company,
1285570691,City Theatre Dublin,
1300715191,Point Fields Theatre Company,
1306493182,"The Ark, A Cultural Centre for Children",
1316655950,Town Hall Theatre,
1343083176,Belltable Art Centre,
1436636676,Second Level Theatre Project,
1444018094,Tadhg O'Kane Players,
1475054084,Project Arts Centre,
1548589892,Gare St Lazare Players Ireland,
1548641276,Tinderbox Theatre Company,
1569298031,DubbelJoint Theatre Company,
1572649714,Island Theatre Company,
1603442578,Rough Magic Theatre Company,
1607599215,Gemini Productions,
1612261081,Macnas,
1623565115,Dublin Theatre Festival,
1633018044,Gate Theatre,
1666006495,Focus Theatre,
1828204197,The Bush Theatre,
1863575764,Team Educational Theatre Company,
1920190831,Barnstorm Theatre Company,
1926951602,Lyric Theatre,
1951676034,Asylum Productions,
2075769476,Replay Productions,
2085331940,Cork Theatre Company,
