DB_id,title,lastname_keyname,alternative_spelling,firstname,firstname_alternative_spelling,middle_names,primary_researcher,male_female,type_of_name,is_alternative_name_of,is_master_name,dob_is_fl,dob_is_circa,birth_year,birth_month,birth_day_of_month,born_settlement,born_county,born_country,dod_is_fl,dod_is_circa,died_year,died_month,died_day_of_month,died_settlement,died_county,died_country,associated_places,education,last_edited,notes,sources,completed
-2147220494,,Coleman,,Kathleen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-17 00:00:00,TCD,Hermathena 1995,0
-2146983341,,Corcoran,,Lorraine,,M.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-16 00:00:00,"Bank of Ireland Head Office, Dublin",Irish Geography 1996,0
-2146810858,Baroness,von Tautphoeus,,Jemima,,,JM,female,Married,-763773985,0,0,1,1807,10,23,Seaview,Donegal,Ireland,0,0,1893,11,12,Munich,,Germany,Germany,,2005-11-24 00:00:00,Cousin of Maria Edgeworth.,NDNB.,0
-2146770195,,Robinson,,Gertrude,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-22 00:00:00,,,0
-2144228221,,Moles,,Norman,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-16 00:00:00,,,0
-2143954168,,O'Hara,,Tana,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-12 00:00:00,,Archivium Hibernicum,0
-2143773032,,Ní Uiginn,,Gráinne,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-03 00:00:00,,,0
-2143726344,Countess,della Brazie,,,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-02-23 00:00:00,Contributor to The Irish Monthly 1923,,0
-2143343604,,Petts,,Brenda,,,JM,female,Married,-814664169,0,0,0,1912,3,17,Bangor,,Wales,0,0,1971,7,11,Bangor,,Wales,"Germany, Ydra, Greece",tertiary,2005-08-19 00:00:00,,Field Day; NDNB,0
-2143305071,Miss,Calahan,,C.,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-08 00:00:00,,Irish Citizen,0
-2142640807,,Swan,,Caroline,,D,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-06-07 00:00:00,Poem published in the Irish Monthly Aug 1911.,AC,0
-2142635053,,Ruane,,Medb,,,JM,female,,,0,0,0,1958,0,0,Dublin,,Ireland,0,0,0,0,0,,,,,tertiary,2005-08-19 00:00:00,Journalist.,Field Day,0
-2140992836,,Armstrong,,Dee,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,tertiary,2005-08-18 00:00:00,,KR,0
-2140200583,,La Pla,,Lillie,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,England,,2005-09-06 00:00:00,Teacher and author.,Capuchin Annual 1956-57,0
-2139596990,,Willsie,,Honore,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-08-23 00:00:00,,KR,0
-2139072340,,Murphy,,Maggie,,,JM,female,,-53653363,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-08 00:00:00,,Irish Citizen,0
-2137910865,,Roche,,Regina,,Maria,,female,Married,-1209081050,0,1,0,1764,0,0,Waterford,Waterford,Ireland,0,0,1845,5,17,Waterford,Waterford,Ireland,Dublin,,2005-05-31 00:00:00,,Field Day; NDNB,0
-2137461409,,Fannin,,Hilary,,,,female,,0,0,1,0,1997,0,0,,,,0,0,0,0,0,,,,Dublin; London,,2007-10-22 00:00:00,Playwright and actor,,0
-2135813304,,Ní Ghallchobhair,,Eithne,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-11 00:00:00,,,0
-2135421032,,Clerke,,Ellen,,M.,,female,Published under,1058302507,0,0,0,1840,0,0,,,,0,0,0,0,0,,,,,,2006-06-20 00:00:00,,,0
-2134550382,,Nic Craith,,Mairéad,,,,female,,0,0,0,0,0,0,0,Cork,,,0,0,0,0,0,,,,Liverpool,,2005-11-14 00:00:00,,"Vivian Uíbh Eachach, (ed) Comhar, 1995, Iml. 12, lch. 7",0
-2134280142,,Hansen,,Dorothy,,Lee,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-03-31 00:00:00,Poet,The Salmon (1982),0
-2134090244,,MacPháidin,,Séan,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-12-08 00:00:00,,,0
-2133522758,,Tenison,,Marika,,Hanbury,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-07-03 00:00:00,,,0
-2133056010,,Carr,,Ruth,,,JM,female,Married,-1028873239,0,0,0,1953,0,0,Belfast,,Ireland,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,Field Day,0
-2130980953,,Nic Canna,,Máire,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-08-29 00:00:00,,,0
-2130921550,,Bhreathnach,,Áine,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-26 00:00:00,,,0
-2130672336,,LL. D.,,,,,,female,Pseudonymn,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,Irish Citizen,0
-2130632150,,O'Nowlan,,Mary,,E.L.,,female,Married,1114420508,0,0,0,1874,0,0,,Clare,Ireland,0,0,1920,0,0,Rome,,Italy,France,tertiary,2005-06-13 00:00:00,,Field Day; Brown,0
-2130198475,,Allgood,,Sara,,,,female,,0,0,0,0,0,0,0,Dublin,,Ireland,0,0,0,0,0,,,,,,2005-09-06 00:00:00,Actress,Capuchin Annual,0
-2129997259,,Ryan,,Angela,,,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,French Lecturer UCC,Women's Studies Review,0
-2129333222,,D.M.L.,,,,,JM,female,Pseudonymn,-1670510836,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,AC,0
-2129197225,,McGrath,,Mary,,Elizabeth,,female,Maiden,-1000049588,0,0,0,1849,9,1,Clonmel,Waterford,Ireland,0,0,1907,0,0,,,,USA,,2005-06-06 00:00:00,Contributor to the Irish Monthly March 1890 to May 1898.,AC,0
-2128663935,,McChesney,,Dora,,Greenwell,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-21 00:00:00,,Dublin Review 1910,0
-2128526280,,Rilke,,Rainer Maria,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-18 00:00:00,,Poetry Ireland Review 39 (1993),0
-2126870698,Sister,Agnes,,Mary,,,JM,female,Religious,479971017,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,Contributor to the Irish Monthly 1879-87,AC,0
-2126576584,Mother,Gertrude,,Mary,,,,female,Religious,531749242,0,0,0,1844,0,0,Rathgar,Dublin,Ireland,0,0,1917,2,12,Rathfarnham,Dublin,Ireland,,,2005-06-07 00:00:00,"Contributor to The Annals of St Anthony, The Messenger of the Sacred Heart, and the Irish Rosary.",AC,0
-2125760221,,Nic Gearailt,,Eibhlín,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-24 00:00:00,Scholar,"Monica Cullinan, The Private Witness: A Selective Bibliography of Literary Writings by Irish Women 1960-1992. MA Thesis, WERRC, UCD, 1992.",0
-2124818299,,Gleeson,,Martin,,,,male,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-07-22 00:00:00,,,0
-2124718361,,Ní Éigeartaigh,,Aoife,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-16 00:00:00,,,0
-2123436590,,Pegge,,Mary,,,,female,,0,0,0,0,0,0,0,Cappoquin,Waterford,Ireland,0,0,0,0,0,,,,Cambridge,,2006-02-02 00:00:00,"Poet. Lived in Cambridge for some time with her husband, poet Denis Pegge. Returned to Ireland and began to publish her work.",Cyphers 29 (1988),0
-2123222999,Mrs,Wright,,Frances,,L.,JM,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,"Fermoy, Co. Cork",,2005-08-19 00:00:00,,Irish Citizen,0
-2122998374,,Hayes,,Catherine,,,,female,,0,0,1,0,1992,0,0,,,,0,0,0,0,0,,,,,,2007-10-22 00:00:00,Playwright,,0
-2122964812,,M.H.G.,,,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-14 00:00:00,Contributor to The Irish Monthly 1916,,0
-2122319124,,Moriarty,,Rachael,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,unknown,2005-09-29 00:00:00,,"IFTN, Irish  Film Board",0
-2122136518,,Kelly,,Rita,,E,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-11-07 00:00:00,,,0
-2122075699,,Hughes,,Sarah,,A.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-03-22 00:00:00,Contributor to The Irish Monthly 1947,,0
-2121725863,,S. Mac O,,,,,,female,Pseudonymn,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2005-08-19 00:00:00,,Irish Citizen,0
-2120603098,,De Valera,,Sinead,,,JM,female,Married,,0,0,0,1879,0,0,Balbriggan,Dublin,Ireland,0,0,1975,1,7,Dublin,,Ireland,,unknown,2005-08-19 00:00:00,,add in maiden name of Flanagan,0
-2120533710,,Sarkissian,,Adele,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-05-11 00:00:00,,,0
-2120529496,,Scarre,,Annie,,M.,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-14 00:00:00,,,0
-2119478177,,MacCarvill,,Eileen,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2007-08-08 00:00:00,,,0
-2118832761,,Ferrall,,Rose,,Nolan,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-06-22 00:00:00,,,0
-2118753452,,Grimes,,Deirdre,,,,female,,0,0,0,0,0,0,0,Killaloe,Clare,Ireland,0,0,0,0,0,,,,,tertiary,2006-05-16 00:00:00,"Degree in Fine Art, Sculpture",The Burning Bush 2 (1999),0
-2118741574,,Stoney,,Anna,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-05-18 00:00:00,,Cathair na Mart 2002,0
-2116406932,,McCrum,,Elizabeth,,,,female,,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,2006-01-19 00:00:00,,18thC Ireland,0
-2116325343,,Hayes,,Stella,,,,female,,0,0,0,0,0,0,0,,Dublin,Ireland,0,0,0,0,0,,,,,,2007-04-20 00:00:00,Poet,Cork Literary Review 3 (1996); Womens Work anthologies,0
-2115983328,,Carbery,,Ethna,,,JM,female,Pseudonymn,1182868219,0,0,0,1866,12,3,Ballymena,Antrim,Ireland,0,0,1902,4,2,Revlin,Donegal,Ireland,,,2007-04-30 00:00:00,,Field Day; NDNB,0
