publication_id,published_in,start_page,end_page,continued_on,continuation_end,illustrated,notes,article_subseries,system
-2147428137,1262626798,400,412,,,unknown,,0,1
-2146696920,1146440995,105,106,,,no,,0,1
-2146572269,471856677,113,120,,,no,,0,1
-2146502744,865174228,144,144,,,no,,0,1
-2146255918,1174918186,213,213,,,no,April,0,1
-2145987219,-703456612,200,,,,unknown,,0,1
-2145974978,1711982306,50,50,,,no,,0,1
-2145664216,1171639226,493,493,,,no,Aug,0,1
-2145519676,-552304393,21,23,,,no,Review of 'Irish Bardic Poetry' (eds.) David Green and Fergus Kelly,0,1
-2145326867,1985489948,20,21,,,yes,,0,1
-2144335845,-1021036711,324,325,,,no,,0,1
-2144147687,430667041,267,267,,,no,May,0,1
-2144051946,1131563913,53,54,,,no,,0,1
-2143901458,-1159625257,12,12,,,unknown,,0,1
-2143869956,-1557791482,71,71,,,no,,0,1
-2143671329,726874582,381,381,,,no,,0,1
-2143483401,-1944019187,20,21,,,unknown,,0,1
-2143394838,1351033862,498,498,,,no,"September. Trans from Kuno Meyer's ""Ancient Irish Poetry"".",0,1
-2143356062,308821264,95,95,,,no,,874628865,1
-2142935411,1928988223,553,553,,,no,October,0,1
-2142594415,1141671476,27,27,,,no,,0,1
-2142104393,659093204,9,9,,,unknown,,0,1
-2141824941,-441357848,22,24,,,yes,,0,1
-2141489563,147078230,67,67,,,no,Letter replying to Ethel Mannin's letter in reply to Barrington's criticisms of Mannin's work.,0,1
-2141275943,-1276387778,133,134,,,unknown,,0,1
-2141031660,1741669951,32,32,,,no,,0,1
-2141011447,-1377723820,41,41,,,no,,0,1
-2139971295,-1971336542,24,24,,,no,,0,1
-2139726520,-89535037,49,50,,,unknown,,0,1
-2139584703,1174918186,231,247,,,no,May,-530683831,1
-2139417864,1031608371,7,7,,,no,,0,1
-2139326537,-603679163,30,31,,,no,,0,1
-2139324436,452232213,36,36,,,no,,0,1
-2138986579,107704662,241,241,,,no,May,0,1
-2138493816,-766074365,,,,,unknown,,0,1
-2138314494,262064107,30,30,,,no,,0,1
-2138032401,-1070558915,55,56,,,no,,0,1
-2137663261,1139315375,36,36,,,no,,0,1
-2137540055,-686810116,263,266,,,no,May,0,1
-2137214234,363236541,9,9,,,no,,0,1
-2137198821,-1224999740,38,38,,,no,,0,1
-2136934821,-1144662070,27,27,,,no,Reprinted in Breaking the Skin (2002),0,1
-2136646857,1790182779,8,8,,,no,,0,1
-2136602016,-171462777,17,17,,,no,,0,1
-2136022953,-327276385,47,48,,,no,Part of a special feature on Scottish poets.,0,1
-2135953674,41858289,27,27,,,no,,0,1
-2135377877,-1715316631,245,260,,,yes,,0,1
-2135255369,473575814,39,39,,,no,Part of a special feature on Italian poets.,0,1
-2134697829,-1620519837,25,29,,,no,,0,1
-2134237753,1570448548,494,502,,,no,,0,1
-2133930456,535482293,10,10,,,no,,0,1
-2133563950,1170357844,31,32,,,no,,0,1
-2132826933,-975474638,23,40,,,no,,0,1
-2132742378,-1922144887,5,6,,,no,,0,1
-2132539381,435462746,18,19,,,yes,,0,1
-2132008245,1201546901,,,,,unknown,,0,1
-2131672524,2073912799,815,819,,,no,,0,1
-2131109415,614265856,205,205,,,no,,0,1
-2130843080,2107099645,3,3,,,no,,0,1
-2130677865,-1108930130,26,26,,,no,,0,1
-2130533716,926695374,,,,,unknown,,0,1
-2130523763,-848620784,400,402,,,unknown,,0,1
-2130341161,-1557805808,536,539,,,no,Sept,0,1
-2130086366,577281093,,,,,unknown,,1196432413,1
-2129604842,2116622887,46,46,,,unknown,,0,1
-2129437457,1124373158,108,109,,,unknown,,0,1
-2128530792,1171285773,294,298,,,no,June,0,1
-2127684316,1249977305,235,240,,,unknown,,0,1
-2127659971,766439084,13,19,,,no,,0,1
-2127617395,-745403088,214,,,,unknown,,0,1
-2127375887,-1260535888,209,221,,,no,,0,1
-2127238086,-1637477167,112,112,,,no,,0,1
-2126880298,-1220348624,104,104,,,no,,0,1
-2126329573,-1270295514,25,25,,,no,,0,1
-2126167365,1346277567,122,123,,,no,UCD PhD,-576065382,1
-2126056655,1603531751,145,145,,,unknown,,0,1
-2125666375,-1750052456,8,8,,,no,,0,1
-2125579135,-63236059,327,344,,,no,,0,1
-2125531315,-709545744,25,26,,,no,Response to Conlon in previous issue; 'argues for a more vibrant critical culture for women writing in Ireland today'.,0,1
-2125321928,-212554499,93,94,,,no,,0,1
-2125310527,-295631680,94,95,,,unknown,,0,1
-2125137436,-845123002,6,6,,,no,,0,1
-2125050220,-1970457849,43,45,,,no,"Review of Aidan Carl Matthews, Windfalls.",0,1
-2124888787,-603126408,34,35,,,no,Printed alongside version in Spanish by the author.,0,1
-2124031126,690754492,170,171,,,no,,0,1
-2123842344,1173265904,142,142,,,no,March,0,1
-2123815962,1131730426,118,118,,,no,,0,1
-2123790238,1139337212,47,47,,,no,,0,1
-2123774244,-501658073,190,209,,,unknown,,0,1
-2123671005,526572779,20,20,,,no,,0,1
-2123495019,-113121700,92,92,,,no,,0,1
-2123210334,948067599,137,148,,,no,March,0,1
-2123164251,-1753179525,130,137,,,no,,0,1
-2123071317,-25294958,,,,,unknown,,1196432413,1
-2122997826,-902299964,252,254,,,yes,,0,1
-2122878283,880304493,0,0,,,unknown,,0,1
-2122507487,-922325819,28,28,,,no,,0,1
-2122007544,1977475955,323,323,,,no,,0,1
-2121442993,545021659,26,26,,,no,,0,1
-2121022072,1767394890,24,24,,,no,Na Braithre Ionmhaine,0,1
-2120979260,1171710502,22,600,,,no,Cont from 30;31. Chapters 43-59.,0,1
-2120802690,-1619540259,251,251,,,unknown,,0,1
-2120775612,-1609033793,48,50,,,no,January,0,1
-2120645262,1716920019,33,33,,,no,,0,1
-2120479166,2005387493,29,35,,,unknown,,0,1
-2120228466,811525216,33,33,,,yes,,0,1
-2120226943,1129215246,14,14,,,no,Third in a sequence of six poems entitled Scrapbook for County Down,0,1
-2120133299,-888445444,,,,,unknown,,1196432413,1
-2119921533,-2029696460,37,37,,,no,,0,1
-2119380025,460870814,438,438,,,no,,0,1
-2118866261,-493602281,48,48,,,no,,0,1
-2118407710,-1223657126,167,169,,,unknown,,0,1
-2117946055,1512998611,5,12,,,yes,,0,1
-2117486251,1942660900,56,60,,,no,,0,1
-2117310915,1778137165,38,39,,,no,,0,1
-2117287044,-1594707420,383,389,,,no,July,0,1
-2117263468,-521321384,38,38,,,no,,0,1
-2117215191,955995469,495,496,,,no,,0,1
-2117077526,1766939396,514,515,,,no,,0,1
-2116985957,-1265331134,60,76,,,no,,0,1
-2116776170,-2147153747,246,272,,,no,,0,1
-2116298275,526572779,86,86,,,no,,0,1
