publication_id,no_publisher,no_location,number_of_volumes,number_of_pages,illustrated,known_reprints,notes
-2147382521,0,0,1,0,no,0,
-2147260661,0,0,1,0,no,0,
-2147228152,0,0,1,0,no,0,
-2146862206,0,0,1,0,no,0,
-2146793731,0,0,1,0,no,0,
-2146655820,0,0,1,0,unknown,0,
-2146576418,0,0,1,0,yes,0,
-2146299608,0,0,1,0,no,0,
-2146262996,0,0,1,0,no,0,
-2146105460,0,0,1,0,yes,0,Illustrations by Rowel Friers
-2144549558,0,0,1,0,no,0,
-2144197509,0,0,1,0,yes,0,
-2144127843,0,0,1,0,no,0,
-2144085607,0,0,1,0,no,0,
-2143511718,0,0,1,0,no,0,
-2143286204,0,0,1,0,no,0,
-2142896262,0,0,1,0,yes,0,
-2142660816,0,0,1,0,yes,0,
-2142347505,0,0,1,0,no,0,
-2142293086,0,0,1,0,,0,
-2142249919,0,0,1,0,no,0,
-2141854485,0,0,1,0,no,0,
-2141751378,0,0,1,0,no,0,
-2141634700,0,0,1,0,no,0,
-2141400945,0,0,1,0,no,0,
-2141373170,0,0,1,0,no,0,
-2141274489,0,0,1,0,no,0,
-2140946820,0,0,3,0,no,0,
-2140573126,0,0,1,0,no,0,
-2140451502,0,0,1,0,no,,
-2140290660,0,0,1,0,,0,
-2139533807,0,0,1,0,no,0,
-2139238359,0,0,1,0,no,0,
-2138629309,0,0,1,0,no,0,
-2138578100,0,0,1,0,no,0,0
-2138162615,0,0,1,0,no,0,
-2137842452,0,0,1,0,no,0,
-2137802057,0,0,1,0,yes,0,
-2136957103,0,0,1,0,no,0,
-2136799994,0,0,1,0,no,0,
-2136595874,0,0,1,0,yes,0,
-2136370962,0,0,1,0,unknown,0,
-2136356885,0,0,1,0,no,0,
-2136277317,1,0,3,0,no,0,
-2135780717,0,0,1,0,no,0,
-2135433117,0,0,1,0,no,0,
-2135042364,0,0,1,0,yes,0,
-2134981428,0,0,2,0,no,0,
-2134903477,0,0,1,0,yes,0,
-2134792170,0,0,1,0,no,0,
-2134557839,0,0,1,0,no,0,
-2134370830,0,0,1,0,no,0,
-2134151649,0,0,1,0,unknown,0,
-2133784306,0,0,1,0,,,Copac
-2133499613,0,0,1,0,no,0,
-2133257808,0,0,1,0,no,0,
-2133188182,0,0,1,0,yes,0,
-2133023203,0,0,1,0,yes,0,
-2132660149,0,0,1,0,no,0,
-2132372439,0,0,1,0,yes,0,0
-2131790944,0,0,1,0,yes,0,
-2131725562,0,0,1,0,no,0,
-2131455668,0,0,1,0,no,0,
-2131385761,0,0,1,0,yes,0,
-2131146280,0,0,1,0,no,0,
-2130806848,0,0,1,0,no,0,
-2130548512,0,0,1,0,no,0,
-2130536932,0,0,1,0,no,0,
-2129783935,0,0,1,0,no,0,0
-2129060203,0,0,1,0,yes,0,
-2128960499,0,0,1,0,yes,0,Contains both 'The Gadfly' and 'Interrupted Friendship'
-2128766012,0,0,1,0,no,0,
-2128652049,0,0,1,0,yes,0,
-2128590397,0,0,1,0,no,0,
-2128362890,0,0,1,0,no,0,
-2127864700,0,0,1,0,unknown,0,
-2126144680,0,0,1,0,no,0,
-2125221664,0,0,1,0,no,0,
-2124905183,0,0,1,0,no,0,
-2124808309,0,0,1,0,no,0,
-2124627290,0,0,1,0,yes,0,
-2124184167,0,0,1,0,no,0,
-2123832557,0,0,1,0,yes,0,
-2123467511,0,0,1,0,unknown,0,
-2123321182,0,0,1,0,no,0,
-2122851478,0,0,1,0,no,0,
-2122297111,0,0,1,0,no,0,
-2122236497,0,0,1,0,,0,
-2122076983,0,0,1,0,no,0,
-2121828096,0,0,1,0,yes,0,
-2121541118,0,0,1,0,no,0,
-2121321202,0,0,1,0,no,0,
-2121081377,0,0,1,0,no,0,
-2120110487,0,0,1,0,no,0,
-2120077569,0,0,1,0,no,0,
-2119799874,0,0,1,0,,0,
-2119778343,0,0,1,0,no,0,
-2119688239,0,0,1,0,,0,
-2119194508,0,0,1,0,no,0,
-2119107674,0,0,1,0,no,0,0
-2119093179,0,0,1,0,no,0,
-2118967032,0,0,1,0,no,0,
-2118617898,0,0,1,0,yes,0,First published as 'In Wheelabout and Cockalone'
-2118090267,0,0,1,0,no,0,
-2117899102,0,0,1,0,no,0,
-2117631428,0,0,1,0,no,0,
-2117188082,0,0,1,0,yes,0,
-2117182666,0,0,1,0,yes,0,
-2117136428,0,0,1,0,unknown,0,
-2117017634,0,0,1,0,yes,0,
-2117011976,0,0,1,0,no,0,
-2116723718,0,0,1,0,no,0,
-2116459194,0,0,2,0,no,0,
-2116441746,0,0,1,0,no,0,
-2116357115,0,0,1,0,no,0,
-2116230951,0,0,1,0,yes,0,
-2116219288,0,0,10,0,yes,0,
-2115592312,0,0,1,0,yes,0,
-2115567574,0,0,1,0,no,0,
-2115195292,0,0,1,0,yes,0,This is the first known version but is the fifth edition
-2115026459,0,0,1,0,no,0,
-2115001191,0,0,1,0,no,0,
-2115000148,0,0,1,0,no,0,
-2114730848,0,0,1,0,no,0,
-2114527003,0,0,1,0,no,0,
-2114209074,0,0,1,0,no,0,
-2113571889,0,0,1,0,no,0,
-2113009027,0,0,1,0,unknown,0,
-2112933505,0,0,1,0,no,0,
-2112054343,0,0,1,0,no,0,
-2111947194,0,0,1,0,no,0,
-2111941882,0,0,1,0,no,0,Translated from the French - original author José María Waldo Echegaray y Eizaguirre
-2111613985,0,0,3,0,no,0,
-2110681106,0,0,1,0,unknown,0,
-2110568152,0,0,1,0,no,0,
-2110390776,1,0,1,0,yes,0,
-2109807232,0,0,1,0,,0,
-2109641472,0,0,1,0,no,0,
-2109559523,0,0,1,0,no,0,
-2109473891,0,0,1,0,no,0,Translated from the French - original author unrecorded
-2109375092,0,0,1,0,unknown,0,
-2109347878,0,0,1,0,unknown,0,
-2109291266,0,0,1,0,no,0,
-2109261571,0,0,1,0,,,Notes and preface by Maria Edgeworth; Copac
-2109005062,0,0,1,0,no,0,
-2108076316,1,0,1,0,no,0,
-2107984331,0,0,1,0,no,0,
-2107831511,0,0,1,0,no,0,
-2107004881,0,0,1,0,no,0,
-2106771931,0,0,1,0,no,0,
-2106640330,0,1,1,0,no,0,
-2106570211,0,0,1,0,no,0,
-2106512043,0,0,1,0,no,0,
-2106458253,0,0,1,0,,0,
-2106193569,0,0,1,0,yes,0,
-2106050079,0,0,1,0,no,0,
-2105497937,0,0,1,0,no,0,
-2105388711,0,0,1,0,yes,0,
-2105108182,0,0,1,0,no,0,Translated from the French - original author Alphonse Balleydier
-2105012513,0,0,1,0,,0,
-2104932253,0,0,1,0,no,0,
-2104774687,0,0,1,0,no,0,
-2104412354,0,0,1,0,no,0,
-2104410568,0,0,1,0,no,0,
-2104264541,0,0,1,0,no,0,
-2104020243,0,0,1,0,unknown,0,
-2103662152,0,0,1,0,no,0,
-2103491847,0,0,1,0,yes,0,
-2103485822,0,0,1,0,yes,0,
-2102730291,0,0,1,0,no,0,
-2102563975,0,0,1,0,no,0,
-2102523154,0,0,1,0,no,0,
-2102503335,1,0,2,0,no,0,
-2102330222,0,0,1,0,unknown,0,
-2102215612,0,0,1,0,no,0,
-2102036583,0,0,1,0,yes,0,
-2101305346,0,0,1,0,no,0,
-2101267294,1,0,3,0,no,0,
-2101202053,0,0,4,0,no,0,
-2101122274,0,0,1,0,,0,
-2100738399,0,0,1,0,no,0,
-2100324936,0,0,1,0,no,0,
-2100323262,1,0,1,0,no,0,Privately printed volume
