publication_id,published_in,start_page,end_page,illustrated,notes
-2144860239,-1135351260,,,unknown,
-2143083017,-2018807990,,,unknown,
-2132769050,1150861304,7,7,unknown,
-2132424449,-1801548117,122,122,unknown,
-2131196918,1174414208,,,unknown,
-2130384864,1155205332,1284,1286,no,
-2129885259,1519339388,676,678,unknown,
-2127954337,641538878,390,391,no,"FD section 'Political Activism in Northern Ireland, 1960-93'. First published in Scarlet Woman, 11 June 1980."
-2127531945,-1896946720,61,61,unknown,
-2126386934,-2082907021,,,unknown,
-2125618914,-1427749305,,,unknown,
-2124948498,641538878,1059,1060,no,FD section 'Inscribing Voices: Twentieth Century Irish Language Memoirs'.
-2124847055,641538878,1303,1303,no,FD section 'Contemporary Poetry'.
-2124603444,-971430189,50,,unknown,
-2124303338,1155205332,979,979,no,"FD section 'Public Discourse, Private Relfection, 1916-70'.'The Lonely Woman'."
-2122837240,680885255,51,64,unknown,
-2121308088,1186387580,7,7,no,
-2117544873,1990952211,60,70,no,
-2116350533,1155205332,582,585,no,"FD section 'Recollections of Catholicism, 1906-1960'."
-2115125037,641538878,1186,1189,no,FD section 'Contemporary Fiction'.
-2115073770,641538878,1368,1368,no,FD section 'Contemporary Poetry'.
-2114871994,-996415434,127,137,no,
-2114294050,1155205332,880,881,no,"FD section 'Sexual Expression and Genre, 1801-1917'"
-2111632663,1519339388,720,720,unknown,
-2110215733,641538878,1626,1629,no,"FD section 'Feminism, Culture and Critique in English'."
-2110042081,-1801548117,26,26,unknown,
-2109394941,1176369270,62,62,unknown,
-2105237474,641538878,1073,1077,no,"FD section 'Aesthetics and Politics, 1890-1960'. First published in Nineteenth Century, vol 41, Jan 1897."
-2104389631,1186265635,267,290,no,
-2103595869,641538878,1527,1529,no,"FD section 'Women in the North of Ireland'. First published in Fingerpost Monthly, vol 7, 2 (1994)."
-2103277387,-1757064847,188,188,unknown,
-2098938806,641538878,1118,1120,no,"FD section 'Women's History and Women Historians, 1840-1945'. First published in the Dublin Historical Record, vol 5 (1942-3)."
-2098739245,1733878082,151,160,no,
-2097969107,1947348391,7,7,no,
-2097130663,-2101122274,1515,153,unknown,
-2095650642,-996415434,94,104,no,
-2095304415,-331924869,,,unknown,
-2094024718,-2082907021,,,unknown,
-2093197260,-633798775,129,129,unknown,
-2088701624,641538878,1519,1520,no,FD section 'Women in the North of Ireland'.
-2088321576,241588665,55,56,unknown,
-2084609103,1155205332,1129,1129,no,"FD section 'Lesbian Encounters, 1745-1997'."
-2084084683,706017594,,,no,
-2083314451,-1767510575,,,unknown,
-2082282721,-140080942,30,30,unknown,
-2081420663,-1958626671,87,100,no,
-2081315889,1157986840,268,278,no,
-2075469414,1990952211,131,137,no,
-2075341390,-971430189,78,78,unknown,
-2072900543,641538878,201,202,no,"FD section 'The Women's Movement in the Republic, 1968-80'."
-2069450666,1155205332,1388,1390,no,FD section 'Lamenting the Dead'. First published in Ceol 1982.
-2067898693,-1024243326,33,39,unknown,
-2066347569,1176369270,28,28,unknown,
-2066086087,-971430189,12,12,unknown,
-2064843367,1155205332,6,12,unknown,
-2063913262,1804253520,6,7,unknown,
-2063237655,293630667,,,unknown,
-2062835718,-213208306,,,no,
-2062658769,1187028408,42,60,no,Winner of the Rooney Prize in 1979
-2060935036,548479339,108,126,unknown,
-2059955808,1155205332,1144,1145,no,"FD section 'Love and Desire in Writing for Children, 1791-1979'."
-2058799969,896246632,155,176,no,
-2058787742,619917332,,,no,
-2058684508,836020742,,,unknown,
-2057726605,1176369270,38,38,unknown,
-2057180245,-1919863437,,,no,
-2056765982,1155205332,612,615,no,"FD section 'Religious Conviction: Women's Voices, 1900-2000'."
-2056704657,-1839002092,,,unknown,
-2056308085,641538878,1314,1314,no,FD section 'Contemporary Poetry'.
-2056060069,-971430189,29,29,unknown,
-2053698064,18383829,41,41,unknown,
-2053080524,1186055018,47,56,yes,
-2052065169,1155205332,705,708,no,FD section 'Theology and Ethics: The Twentieth Century'.
-2051765380,641538878,1333,1333,no,FD section 'Contemporary Poetry'.
-2051464072,641538878,1304,1305,no,FD section 'Contemporary Poetry'.
-2049432406,-140080942,13,13,unknown,
-2048222210,641538878,1381,1381,no,FD section 'Contemporary Poetry'.
-2047385893,1155205332,734,741,no,"First published in Milltown Studies (winter 2000), pp. 58-84. FD section 'Theology and Ethics: The Twentieth Century'."
-2042959800,29936199,,,no,
-2042807699,1183015742,,,unknown,
-2041959082,-1623861544,29,32,unknown,
-2041908951,-1732970594,,,no,
-2041445175,641538878,275,277,no,"FD section 'The Women's Movement and Politicians in the Republic, 1980-2000'. Extracts published in the Irish Woman, 21 December 1984."
-2040406560,-1757064847,58,59,unknown,
-2037964460,-996415434,,,no,
-2036014308,1834302610,28,28,unknown,
-2034751890,1176462032,17,17,unknown,
-2032536781,-1996173154,,,unknown,
-2032354183,-1548069,112,113,unknown,
-2030737693,-140080942,29,29,unknown,
-2029604616,548479339,98,98,unknown,
-2028845473,1185039783,25,49,yes,
-2026057967,-2098903,27,28,unknown,"winner, under-18"
-2025048163,-1896946720,39,39,unknown,
-2024736223,-1919052874,41,60,no,
-2024286329,1176369270,31,31,unknown,
-2021870477,-1027159523,,,unknown,
-2020053010,641538878,102,103,no,"FD section 'Women and Politics, 1860-1918'. First published in the Irish Citizen, 23 May 1914."
-2019899535,1519339388,527,528,unknown,
-2017999330,-2018536685,,,unknown,
-2017932847,1797328811,,,no,
-2016556425,1197822356,200,203,yes,
-2014716823,641538878,554,554,no,"FD section 'The Labour Movement 1800-2000'. First published in the Irish Citizen, Dec 1919"
-2013018135,1176369270,33,33,unknown,
-2009348449,641538878,1,5,no,
-2009041893,-1209873395,252,260,no,
-2006005276,1155205332,537,541,no,
-2004585781,1178706087,64,66,unknown,
-2003693994,-971430189,47,,unknown,
-2003022128,641538878,1269,1271,no,FD section 'Contemporary Women Playwrights'.
-2002894417,204767886,,,unknown,
-2000790835,1155205332,1409,1409,no,"Fd section 'Spirituality and Religion'. First published in Béaloideas, vol6 (1936)."
-2000629068,-508626909,,,unknown,
-1999914716,641538878,446,447,no,"FD section 'Women and Politics in Northern Ireland, 1993-2000'. First published in the Sunday Tribune, 15 March 1998."
-1999593125,1176369270,53,53,unknown,
-1999447967,935156962,,,unknown,
-1998215013,-1896946720,57,58,unknown,
-1998114199,1646903146,,,no,
-1997720979,641538878,1549,1554,no,"FD section 'Feminism, Culture and Critique in Irish'. First published in Seirbhís Phoiblí, vol 4, 2 (Dec 1983)."
-1997445597,1155205332,1113,1114,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1994905937,-1084703232,,,unknown,
-1993713297,1155205332,970,970,no,"First published in the Dublin Magazine (1942). FD section 'Public Discourse, Private Reflection, 1916-70"
-1992714526,-1896946720,49,49,unknown,
-1991579985,-971430189,42,42,unknown,
-1987954728,1155205332,637,638,no,"The Statue of the Virgin at Granard Speaks. FD section 'The Poetry of the Spirit, 1906-1960'."
-1987691119,1155205332,1135,1136,no,"FD section 'Lesbian Encounters, 1745-1997'."
-1987347221,-1740731472,,,unknown,
-1986997572,877202092,51,84,no,
-1986324028,-1870854362,9,12,no,
-1984916115,-355110338,9,21,yes,
-1983765017,1183015742,,,unknown,
-1981468295,1262484392,173,188,no,
-1981325387,641538878,1472,1473,no,"FD section 'Republic of Ireland: Politics of Sexuality. 1965-2000'. First published in the Irish Times, 25 Nov 2000."
-1979673990,1040554684,44,49,unknown,
-1978700127,-1963699250,,,no,
-1978075969,1176462032,3,3,unknown,
-1976768245,-971430189,2,2,unknown,
-1976571875,-772596690,,,unknown,
-1972157109,-1896946720,41,42,unknown,
-1971838605,-971430189,41,41,unknown,
-1969037087,-145657772,234,260,unknown,
-1969020482,-701339192,,,unknown,
-1968883634,1155205332,1326,1327,no,"FD section 'The Song Tradition'. Original recording The Flower of Magherally, Sruthán Records, Dublin (1978)."
-1968317708,-634588970,,,no,
-1967663026,-1907320341,21,21,no,
-1967566961,1155205332,1127,1127,no,"FD section 'Lesbian Encounters, 1745-1997'. 'Nights with Anne'."
-1967548936,1775611581,296,310,no,
-1967141768,1155205332,648,653,no,"FD section 'Expanding Boundaries: Faith and Sciences, 1850-1990'."
-1967088472,-2113571889,,,no,
-1966605871,1156168195,,,no,
-1966531164,641538878,69,74,no,
-1964612018,18383829,19,19,unknown,
-1964065982,1155205332,1173,1174,no,"FD section 'Love and Desire in Writing for Children, 1791-1979'."
-1961896449,-1907320341,9,9,unknown,
-1961234884,-1113671823,135,143,no,
-1960735074,-1210177322,177,202,no,
