publication_id,publisher,printer,notes,season,from_year,from_month,to_year,to_month,edition_subseries
-2147259301,0,0, ,,,,,,0
-2147160329,0,0, ,,0,0,0,0,0
-2147153747,0,0, ,,0,0,0,-1,0
-2146623412,0,0, ,,,,,,0
-2146327838,0,0,Published in The Irish Press. Date is 27-28 March.,,0,0,0,0,
-2144639780,0,0, ,Spring,,,,,0
-2143117950,0,0, ,,0,0,0,0,0
-2142699834,0,0,Published in The Irish Press.,,0,0,0,0,0
-2142629033,0,0, ,Spring,0,0,0,0,0
-2141906571,0,0, ,,0,0,0,0,0
-2141622339,0,0, ,,0,-1,0,0,0
-2141065837,0,0, ,,0,-1,0,0,0
-2139872871,0,0, ,,0,0,0,0,0
-2139540030,0,0,No year given [1998],,0,0,0,0,0
-2136791435,0,0, ,Spring,0,0,0,0,0
-2136573378,0,0, ,,0,0,0,0,0
-2136516178,0,0, ,,,,,,0
-2136095269,0,0, ,,0,0,0,0,0
-2134672950,0,0, ,,0,0,0,0,0
-2134466288,0,0, ,,0,-1,0,0,0
-2134140449,0,0, ,,,,,,0
-2133362443,0,0, ,,0,-1,0,0,0
-2133335376,0,0, ,,0,0,0,0,0
-2131613711,0,0, ,,0,0,0,0,0
-2130783999,0,0, ,,,,,,0
-2130498596,0,0,Published in The Irish Press,,0,0,0,0,0
-2129842636,0,0, ,,,,,,0
-2126566878,0,0, ,,0,-1,0,0,0
-2126355147,0,0, ,,0,0,0,0,0
-2124957851,0,0, ,,,,,,0
-2122785624,0,0, ,,,,,,0
-2121761166,0,0,Poetry editor: John Hewitt,Summer,0,0,0,0,0
-2121360896,0,0, ,Spring,,,,,0
-2121198514,0,0, ,,0,-1,0,0,0
-2121035286,0,0, ,,0,-1,0,0,0
-2119406778,0,0, ,,0,0,0,-1,0
-2118914561,0,0, ,,0,-1,0,0,0
-2118346070,0,0, ,,,,,,0
-2117682450,0,0,Oct-Dec,,,,,,0
-2116979748,0,0, ,,0,-1,0,0,0
-2116382290,0,0, ,,0,0,0,0,0
-2116201443,0,0, ,,,,,,0
-2114699479,0,0, ,,0,-1,0,0,0
-2114464055,0,0, ,,0,-1,0,0,0
-2113808359,0,0, ,,,,,,0
-2112262116,0,0, ,,,,,,0
-2111455547,0,0, ,,,,,,0
-2109979124,0,0, ,,0,-1,0,0,0
-2109965021,0,0, ,,0,0,0,0,0
-2109739563,0,0, ,,0,0,0,0,0
-2109606866,0,0, ,,0,0,0,0,0
-2108787169,0,0,Published in The Irish Press,,0,0,0,0,0
-2107938218,0,0, ,,0,-1,0,0,0
-2106065921,0,0, ,,,,,,0
-2104930659,0,0, ,,0,0,0,0,0
-2104902188,0,0," 1971-72, Part 4",,,,,,0
-2103469887,0,0, ,,0,0,0,0,0
-2103392081,0,0, ,,,,,,0
-2102681692,0,0, ,,0,0,0,0,0
-2102658202,0,0, ,Autumn,0,-1,0,0,0
-2102032489,0,0, ,,0,0,0,0,0
-2101975622,0,0, ,,0,0,0,0,0
-2101408093,0,0, ,,0,0,0,-1,0
-2101267228,0,0, ,,0,0,0,0,0
-2100611015,0,0, ,,0,0,0,0,0
-2099778896,0,0, ,,0,0,0,-1,0
-2099189129,0,0, ,Winter,0,0,0,0,0
-2098758390,0,0,Published in The Irish Press.,,0,0,0,0,0
-2097388417,0,0, ,Winter,0,0,0,0,0
-2095896162,0,0,Monthly edition.,,,,,,0
-2094769446,0,0, ,,0,-1,0,0,0
-2094147727,0,0, ,,0,-1,0,0,0
-2093832278,0,0, ,,0,0,0,0,0
-2093189837,0,0, ,,,,,,0
-2092294588,0,0, ,,1946,0,0,0,0
-2092215714,0,0,Foreword by O'Malley. Poetry editor: Hewitt.,Spring/Summer,0,0,0,0,0
-2090961532,0,0, ,,0,0,0,-1,0
-2090630314,0,0, ,,,,,,0
-2089477482,0,0, ,,1960,0,0,0,0
-2087824565,0,0, ,,0,0,0,0,0
-2087268409,0,0, ,,0,0,0,0,0
-2085936175,0,0, ,,,,,,0
-2085657939,0,0, ,,0,0,0,-1,0
-2085540216,0,0, ,,,,,,0
-2085281035,0,0, ,,,,,,0
-2083200224,0,0, ,,0,0,0,0,0
-2082691492,0,0, ,,0,0,0,-1,0
-2082218448,0,0, ,,,,,,0
-2081594380,0,0, ,,0,0,0,0,0
-2081389341,0,0, ,Autumn,0,-1,0,0,0
-2081098102,0,0, ,,0,0,0,-1,0
-2078869896,0,0,Published in The Irish Press,,0,0,0,0,0
-2077162660,0,0, ,,0,0,0,-1,0
-2076561999,0,0, ,,0,0,0,0,0
-2075981382,0,0, ,Winter,0,0,0,0,0
-2075828485,0,0, ,,0,0,0,0,0
-2075261657,0,0, ,,0,0,0,0,0
-2074047647,0,0, ,,0,0,0,0,0
-2073796673,0,0,Focuses on modern literature in Irish.,Summer,0,0,0,0,0
-2072718810,0,0, ,,,,,,0
-2071983485,0,0,No year given [?1981]. Published as 'Poetry Galway'. Title changes to The Salmon from no.3 on.,,0,0,0,0,0
-2071032849,0,0,Published in The Irish Press.,,0,0,0,0,0
-2069242193,0,0,July/August,,,,,,0
-2068829318,0,0, ,,0,0,0,0,0
-2068780396,0,0, ,,0,0,0,0,0
-2067298434,0,0, ,,0,0,0,0,0
-2067097134,0,0, ,,0,0,0,0,0
-2066880738,0,0, ,,,,,,0
-2066722819,0,0, ,,,,,,0
-2066667407,0,0, ,Spring,0,-1,0,0,0
-2064264518,0,0, ,,,,,,0
-2063371543,0,0,Oct-Dec,,,,,,0
-2062817496,0,0,Published in The Irish Press,,0,0,0,0,0
-2062362978,0,0, ,,,,,,0
-2062024455,0,0, ,,0,-1,0,0,0
-2061070311,0,0, ,Summer,0,0,0,0,0
-2061044410,0,0,Published in The Irish Press,,0,0,0,0,0
-2060089235,0,0, ,,0,0,0,0,0
-2059347869,0,0, ,,0,-1,0,0,0
-2058795585,0,0, ,,1944,0,0,0,0
-2058197238,0,0, ,,0,-1,0,0,0
-2057669915,0,0, ,,0,0,0,0,0
-2056394221,0,0, ,,0,0,0,-1,0
-2056166135,0,0, ,,,,,,0
-2056041291,0,0, ,,0,0,0,-1,0
-2055831560,0,0, ,,1933,0,0,0,0
-2055424269,0,0, ,,,,,,0
-2055135096,0,0, ,Spring,0,0,0,0,0
-2054951906,0,0, Published in The Irish Press,,0,0,0,0,0
-2054775341,0,0, ,,,,,,0
-2053853009,0,0, ,,0,0,0,-1,0
-2052524971,0,0, ,,0,0,0,0,0
-2051574546,0,0, ,,0,-1,0,0,0
-2051539847,0,0, ,,,,,,0
-2050866303,0,0,Published in The Irish Press.,,0,0,0,0,0
