publication_id,length_minutes,production_company,country_of_origin,country_of_origin_2,country_of_origin_3,notes,date_video,date_dvd
-2140670582,0,627615541,Ireland,,,,0,0
-2135466234,10,-1072303267,Ireland,,,Based on the poem of the same name by Cathal o Searcaigh,,
-2131656453,90,-1704424556,Ireland,,,with Parallel Films,0,0
-2126892689,10,-953753551,Ireland,,,"Galway Film Fleadh, 18/7/1992.  Runner-up for the Best Short Film Award at the 1992 Galway Film Fleadh.",,
-2121928754,51,627615541,Ireland,,,,0,0
-2115908150,0,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
-2101826432,9,-1722868847,Ireland,,,"Cork Film Festival, 1988. 16mm.",,
-2097241500,0,1153387532,Ireland,,,A six part series on herbal medicine.,,
-2081678938,8,-1995761451,Ireland,,,with Irish Film Board/Bord Scannán na hÉireann (Frameworks),,
-2081029433,2,627615541,Ireland,,,,0,0
-2076826087,0,-259323305,Ireland,,,,0,0
-2063526305,0,-396677422,Usa,,,,,
-2055958624,17,-953753551,Ireland,,,Irish Film Centre release.,,
-2055193442,74,1691106361,Ireland,,,AKA Chavez: The Coup. Footage obtained by RTE newscrew during coup.,0,0
-2054956165,0,627615541,Ireland,,,Galway Film Festival 2005 (event programme),,
-2054034963,15,-1081683684,Ireland,,,"Galway Film Fleadh, 15/7/1994.  TX RTÉ 18/3/1995. 16mm.",,
-2048119489,5,1708453635,Ireland,,,"Part of a trilogy incorporating Glass Hour, and Too Dark for Night/Desert.",,
-2044814926,156,1397069845,Ireland,,,6x26 minute programmes,,
-2040005005,52,-963075718,Ireland,,,,,
-2035553506,5,627615541,Ireland,,,,0,0
-2031473774,156,-963075718,Ireland,,,6x26 minute programmes,,
-2026622871,14,-995665144,Ireland,,,,,
-2022796633,11,-17548546,Ireland,,,Cork Film Festival 1995.  Produced in association with the Nother Ireland Film Council and BBC Northern Ireland.,,
-2018303253,9,627615541,Ireland,,,Galway Film Fleadh 2000,0,0
-2006114316,0,1124799135,USA,,,,,
-2002686086,15,627615541,Ireland,,,,0,0
-2001454523,5,1440952788,,,,"Dublin Film Festival, 1989.",,
-1994736703,4,627615541,USA,,,,0,0
-1992944647,3,627615541,Ireland,,,Galway Film Fleadh 2003,0,0
-1981572066,0,627615541,Ireland,USA,,Galway Film Fleadh 2004,0,0
-1969830697,10,627615541,Ireland,,,,,
-1966558770,52,-1096680108,Ireland,,,,,
-1956467362,15,-953753551,Ireland,,,"Galway Film Fleadh. Won Most promising Director, Best Use of Sound, Best Editing, Best Use of Stills at the 1993 Fuji Film Awards. Won a Certificate of Merit at the 1993 Cork Film Festival. 16mm. Col and b&w.",,
-1933079604,10,339696313,Ireland,,,,0,0
-1932431050,97,141517865,England,,,"Won the Jury Award at Montreal Film Festival, 1988. 16mm.",,
-1930066320,12,-409060213,,,,"Galway Film Fleah, 1990.",,
-1917369148,8,-1797924093,Ireland,,,"Galway Film Fleadh, 1992, won Best Short Film Award.  Won Best Fiction Film Award at the 1993 Irish Student Film Festival.  16mm.",,
-1898781672,12,627615541,Ireland,,,,0,0
